
10pin,Bowling
unincorporated_area,gemeindefreies Gebiet
university,Universität
unsurfaced,nichtasphaltierte Straße
valley,Tal
variety_store,Niedrigpreisgeschäft
vending_machine,Automat
veterinary,Tierarzt
video,Videothek
viewpoint,Aussichtspunkt
village,Dorf
village_green,Grünanlage
village_hall,Gemeindezentrum
vineyard,Weingut
volcano,Vulkan
volleyball,Volleyball
wadi,Trockental
wall,Mauer
waste_basket,Mülleimer
waste_disposal,Abfallentsorgung
wastewater_plant,Kläranlage
watchmaker,Uhrmacher
water_dock,Dock
waterfall,Wasserfall
water,Gewässer
water_lock_gate,Schleuse
water_mill_pond,Mühlteich
watermill,Wassermühle
water_park,Wasserpark
water_point,Trinkwasserentnahmestelle
water_ski,Wasserski
water_tank,Löschwasserbehälter
water_tower,Wasserturm
water_turning_point,Wasserwendestelle
water_weir,Wehr
water_well,Brunnen
water_works,Wasserwerk
wayside_cross,Wegkreuz
wayside_shrine,Schrein
weightlifting,Gewichtheben
weir,Wehr
wetland,Feuchtgebiet
wetlands,Feuchtgebiet
wifi,WLAN-Zugangspunkt
windmill,Windmühle
wine,Weingeschäft
wood,Wald
works,Fabrik
wreck,Schiffswrack
wrestling,Ringen
yard,Rangierbahnhof
youth_centre,Jugendzentrum
zoo,Zoo
